,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
13,Rockland Hotel Panchsheel Enclave,"C 30, Panchsheel Encalve, New Delhi, Delhi N.C.R, 110017, India","10 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferSpaRestaurant,"Rs17,991",Good 7.0,Delhi,24/02/2021,06/03/2021
14,Hotel Sunstar Heritage,"8A/43, W.E.A. Channa Market, Karol Bagh, New Delhi, Delhi N.C.R, 110005, India","3.8 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantConnecting rooms available,"Rs15,300",Good 7.8,Delhi,24/02/2021,06/03/2021
15,Svelte Hotel & Personal Suites,"A3 District Centre, Select citywalk, Saket, New Delhi, Delhi N.C.R, 110017, India","12 km to city centre
13 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferGymRestaurantBar,"Rs31,990",Good 7.6,Delhi,24/02/2021,06/03/2021
16,The Metropolitan Hotel and Spa New Delhi,"Bangla Sahib Road, Connaught Place, New Delhi, Delhi N.C.R, 110 001, India","1.1 km to city centre
15 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs37,500",Very good 8.2,Delhi,24/02/2021,06/03/2021
17,Surya Palace,"D 1/32, Behind Goyalsons shop, Ramphal Chowk Market, Sector 7, Dwarka, New Delhi, DL, 110075, India","16 km to city centre
3.5 km to Indira Gandhi International Airport (DEL)",Free parkingPet-friendlyRestaurantConnecting rooms available,"Rs10,000",,Delhi,24/02/2021,06/03/2021
18,Omehar Stay,"A 1029/1 Road No. 6 & 7, Near NH-8 Mahipalpur, New Delhi, Delhi, 110037, India","13 km to city centre
4.5 km to Indira Gandhi International Airport (DEL)",Free parkingPet-friendlyAirport transferRestaurantBar,"Rs9,000",,Delhi,24/02/2021,06/03/2021
19,Omehar Stay,"A 1029/1 Road No. 6 & 7, Near NH-8 Mahipalpur, New Delhi, Delhi, 110037, India","13 km to city centre
4.5 km to Indira Gandhi International Airport (DEL)",Free parkingPet-friendlyAirport transferRestaurantBar,"Rs9,000",,Delhi,24/02/2021,06/03/2021
20,"Lemon Tree Premier, Delhi Airport","Asset No 6, Aerocity Hospitality District, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.4 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs36,770",Good 7.4,Delhi,24/02/2021,06/03/2021
21,Hyatt Regency Delhi,"Bhikaiji Cama Place Ring Road, New Delhi, Delhi N.C.R, 110066, India","7.9 km to city centre
9.8 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs49,990",Very good 8.2,Delhi,24/02/2021,06/03/2021
22,"Hotel The Raj, New Delhi","8495,Arakashan Road , Pahargunj, New Delhi, Delhi N.C.R, 110055, India","1.5 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingRestaurantInternet access,"Rs10,973",2,Delhi,24/02/2021,06/03/2021
